4,34 0,1 1  0
8,26 0,-1 1  0
6,30 -1,0 1  0
9,25 -1,0 1  0
4,33 0,1 1  0
points
2,23 2,31 2,32 2,33 2,34 2,35 2,37 3,26 3,27 3,28 3,29 3,30 3,31 3,36 3,37 3,38 4,25 4,26 4,32 4,33 4,34 4,35 4,36 4,38 4,40 4,41 5,23 5,24 5,31 5,32 5,36 5,37 5,40 5,42 6,23 6,29 6,30 6,31 6,33 6,34 6,35 6,37 6,38 6,39 6,40 6,42 7,23 7,27 7,28 7,29 7,30 7,32 7,38 7,39 7,42 8,25 8,26 8,30 8,31 8,32 8,33 8,34 8,35 8,36 8,38 8,39 8,42 9,24 9,25 9,26 9,38 9,39 9,42 9,43 10,26 10,27 10,29 10,35 10,37 10,38 10,41 10,42 11,30 11,32 11,34 11,35 11,37 11,38 11,40 
objects
11,40 1,0 5
11,37 1,0 5
11,35 1,0 6
11,34 0,-1 0
10,35 0,1 0
